election,state_reg,mimu_stregpcode,mimu_stregname,mimu_dspcode,mimu_dsname,mimu_twpcode,mimu_twname,ser_num,mimu_plcode,cons_num,dstot_eligv,dstot_ticketv,dstot_earlyv,dstot_totalv,dstot_pctv,dstot_invv,dstot_lostv,dstot_invlostv,cand_name,cand_party,cand_party_cleaned,party_type,dstot_val_ticketv,dstot_val_earlyv,dstot_val_totalv,cand_pctvalv,lu_name,lu_state,lu_consnm,lu_par,lu_gen,lu_byr,lu_age,lu_occ,lu_occrecode,lu_edu,lu_edurecode,lu_deg,lu_hideg,lu_hidegrecode,lu_nat,lu_rel,lu_wdvill,lu_urbrur,lu_vlnum,lu_fat,lu_fatnat,lu_fatrel,lu_mot,lu_motnat,lu_motrel
Nationality or Ethnic Affairs,Kachin,,,,,,,1,,Bamar,325127,203127,22568,225695,69.42,6249,790,7039,U Khin Maung Myint (a) U Date,National League for Democracy (NLD),National League for Democracy,Major national,113166,5847,119013,0.5443,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,1,,Bamar,325127,203127,22568,225695,69.42,6249,790,7039,Daw Nu Nu Yee,Union Solidarity and Development Party (USDP),Union Solidarity and Development Party,Major national,63791,14663,78454,0.3588,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,1,,Bamar,325127,203127,22568,225695,69.42,6249,790,7039,U Par (a) U Khin Maung Swe,National Unity Party (NUP),National Unity Party,Major national,8037,648,8685,0.0397,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,1,,Bamar,325127,203127,22568,225695,69.42,6249,790,7039,U Win Oo,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),Shan-Ni & Northern Shan Ethnics Solidarity Party,Kachin State,3466,335,3801,0.0174,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,1,,Bamar,325127,203127,22568,225695,69.42,6249,790,7039,U Thein Win,Tai-Leng Nationalities Development Party (T.N.D.P),Tai-Leng Nationalities Development Party,Kachin State,8064,639,8703,0.0398,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,U Kyaw Oo (a) U Sai Kyaw Oo,Tai-Leng Nationalities Development Party (T.N.D.P),Tai-Leng Nationalities Development Party,Kachin State,22189,1129,23318,0.1871,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,U Sai Sein Lin,National League for Democracy (NLD),National League for Democracy,Major national,40862,1678,42540,0.3413,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,Dr. Sat Khun Tun (a) Saw Nwet Khun Tun,Union Solidarity and Development Party (USDP),Union Solidarity and Development Party,Major national,21487,1716,23203,0.1862,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,U Nyunt Maung,Shan-Ni & Northern Shan Ethnics Solidarity Party (S.N.S.P),Shan-Ni & Northern Shan Ethnics Solidarity Party,Kachin State,3068,174,3242,0.026,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,U Min Aung,Shan Nationalities Democratic Party (SNDP),Shan Nationalities Democratic Party,Shan State,16916,599,17515,0.1405,,,,,,,,,,,,,,,,,,,,,,,,,
Nationality or Ethnic Affairs,Kachin,,,,,,,2,,Shan,186855,124652,6101,130753,69.98,5393,730,6123,U Thein Maung,Shan Nationalities League for Democracy (SNLD),Shan Nationalities League for Democracy,Shan State,14478,334,14812,0.1188,,,,,,,,,,,,,,,,,,,,,,,,,
