Lookup,Country,"RowIndex
(Caution: Do not change RowIndex number)",House,State_Region,SR_PCode,TS_PCode,Township,MIMU_Constituency_PCode,Constituency_Name,Constituency_Recode,RepEthnicGroup,Voters_TotalEligibleVoters,Voters_TicketVotes,Voters_EarlyVotes,Voters_Total,Voters_Percent,InvalidTicket_TotalInvalid,InvalidTicket_TotalLoss,InvalidTicket_TOTAL,FullName,Gender,PartyID,Party,ValidVote_Constituency_Total_Ticket,ValidVote_Constituency_Total_EarlyVote,ValidVote_Constituency_TOTAL,ValidVote_Candidate_Total_Ticket,ValidVote_Candidate_Total_EarlyVote,ValidVote_Candidate_TOTAL,ValidVote_PercentOfValid,Is_WinningCandidate,DataSource,PartyID,Party,Gender,DOB,Age,Occupation_Recoded,Occupation_Recoded1,Occupation_Recoded2,Education,Education_Recoded,Education_Highest,edhi_recode,Nationality,Religion,Ward_Village,PlaceOfResidence,Father,Father_Nationality,Father_Religion,Mother_Name,Mother_Nationality,Mother_Religion
Amyotha HluttawAyeyarwady RegionU San Myint1TRUE,Myanmar,31,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA003

HLA001",3,Amyothar_Ayeyarwady_3,,322658,232930,17928,250858,0.7775,11851,224,12075,U San Myint,M,1,National League for Democracy (NLD),221007,17776,238783,141649,9480,151129,0.6329,TRUE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,1,National League for Democracy (NLD),M,18296,65,Lawyer,Lawyer,Own business,B.A (Law)? LL.B,LL.B,Bachelor,Bachelor,Bamar,Buddhist,Eine Tha Pyu Tract,Rural,U Chit Aye,Bamar,Buddhist,Daw Aye Tin,Bamar,Buddhist
Amyotha HluttawAyeyarwady RegionU Myint Thein2FALSE,Myanmar,22,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA003

HLA001",3,Amyothar_Ayeyarwady_3,,322658,232930,17928,250858,0.7775,11851,224,12075,U Myint Thein,M,2,Union Solidarity and Development Party (USDP),221007,17776,238783,65175,7335,72510,0.3037,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Aung Thaung3FALSE,Myanmar,23,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA008

HLA001",8,Amyothar_Ayeyarwady_8,,374564,287020,13975,300995,0.8036,12551,379,12930,U Aung Thaung,M,3,National Unity Party (NUP),274090,13975,288065,7241,301,7542,0.0262,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Hla Win Oo7FALSE,Myanmar,24,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA006

HLA001",6,Amyothar_Ayeyarwady_6,,209390,152960,9471,162431,0.7757,6394,76,6470,U Hla Win Oo,M,7,National Democratic Force (NDF),146491,9470,155961,1028,102,1130,0.0072,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Aye Kyaw6FALSE,Myanmar,25,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,U Aye Kyaw,M,6,Myanmar Farmer Development Party,303339,19568,322907,2858,153,3011,0.0093,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Tun Shwe36FALSE,Myanmar,26,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,U Tun Shwe,M,36,Democratic Party for A New Society,303339,19568,322907,1572,64,1636,0.0051,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionMann Nant Thar10FALSE,Myanmar,27,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA010

HLA001",10,Amyothar_Ayeyarwady_10,,368768,231197,12951,244148,0.6621,9418,552,9970,Mann Nant Thar,M,10,Kayin People Party,221521,12657,234178,1286,67,1353,0.0058,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Tin Hla3FALSE,Myanmar,28,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA007

HLA001",7,Amyothar_Ayeyarwady_7,,349427,235746,13959,249705,0.7146,6325,252,6577,U Tin Hla,M,3,National Unity Party (NUP),229412,13716,243128,14235,844,15079,0.062,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionU Saw Kat Nat10FALSE,Myanmar,39,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA012

HLA001",12,Amyothar_Ayeyarwady_12,,426799,285887,17472,303359,0.7108,17232,488,17720,U Saw Kat Nat,M,10,Kayin People Party,268809,16830,285639,5717,377,6094,0.0213,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
Amyotha HluttawAyeyarwady RegionSaw Yort Sako10FALSE,Myanmar,30,Amyotha Hluttaw,Ayeyarwady ,MMR017,,,"MMR017HLA001

HLA001",1,Amyothar_Ayeyarwady_1,,465625,316327,19868,336195,0.722,13028,260,13288,Saw Yort Sako,M,10,Kayin People Party,303339,19568,322907,11566,364,11930,0.0369,FALSE,Email Data Sharing\Ko Zaw Min Oo\collection data for election (for KNW) via USB stick\Election result data\Election Result Data for Amyothar Hluttaw.xlsx,,,,,,,,,,,,,,,,,,,,,,
